;;;;;;;;;;;;;;
;;;;;;Se è necessario inserire più tesserati, UTILIZZARE UNA SECONDA COPIA DI QUESTO FILE, NON AGGIUNGERE RIGHE A QUESTO FILE!;;;;;;;;
;;;;;;;;;;;;;;
visto: COMITATO PROVINCIALE ACSI;;;;           IL PRESIDENTE ;;;;;;;;;;
_________________________________;;;;____________________________;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
392;SURFING;;;;;;;;;;;;;
242;TAE KWAN DO;;;;;;;;;;;;;
393;TAI CHI (CHEN);;;;;;;;;;;;;
394;TAI CHI (YANG);;;;;;;;;;;;;
151;TAIJI QWAN;;;;;;;;;;;;;
395;TAMBURELLO;;;;;;;;;;;;;
260;Tango Argentino;;;;;;;;;;;;;
396;TCHOUKBALL;;;;;;;;;;;;;
10;TEATRO;;;;;;;;;;;;;
5;TENNIS;;;;;;;;;;;;;
152;TENNIS TAVOLO;;;;;;;;;;;;;
244;TERAPIE ALTERNATIVE;;;;;;;;;;;;;
262;Tip Tap;;;;;;;;;;;;;
245;TIRO A SEGNO;;;;;;;;;;;;;
153;TIRO A VOLO;;;;;;;;;;;;;
154;TIRO AL PIATTELLO;;;;;;;;;;;;;
246;TIRO ALLA FUNE;;;;;;;;;;;;;
155;TIRO CON L'ARCO;;;;;;;;;;;;;
247;TORNEO DEL PALIO;;;;;;;;;;;;;
397;TORRENTISMO;;;;;;;;;;;;;
398;TOTAL BODY;;;;;;;;;;;;;
156;TREKKING;;;;;;;;;;;;;
399;TRIAL;;;;;;;;;;;;;
157;TRIATHLON;;;;;;;;;;;;;
400;TUFFI;;;;;;;;;;;;;
158;TURISMO;;;;;;;;;;;;;
390;TWIRLING;;;;;;;;;;;;;
159;VELA;;;;;;;;;;;;;
248;VIDEO GIOCHI;;;;;;;;;;;;;
258;VIET BOXING;;;;;;;;;;;;;
249;VIETVO DAO;;;;;;;;;;;;;
160;VIETVODAO;;;;;;;;;;;;;
401;VOGA ALLA VENETA;;;;;;;;;;;;;
402;VOLO A MOTORE;;;;;;;;;;;;;
403;VOLO A VELA;;;;;;;;;;;;;
70;VOLO ACROBATICO;;;;;;;;;;;;;
404;VOLO LIBERO;;;;;;;;;;;;;
405;VOLO ULTRA LEGGERO;;;;;;;;;;;;;
250;VOLONTARIATO;;;;;;;;;;;;;
251;WAR GAME;;;;;;;;;;;;;
56;WIND SURF;;;;;;;;;;;;;
406;Wing Chun;;;;;;;;;;;;;
161;WINGTSUN;;;;;;;;;;;;;
69;WRESTLING;;;;;;;;;;;;;
162;WUSHU KUNG FU;;;;;;;;;;;;;
62;YOGA;;;;;;;;;;;;;
